"FieldGoalDistance","FieldGoalResult","HomeTeam","Month","KickerName","desc"
47,1,"ARI","9","J.Feely","(11:49) J.Feely 47 yard field goal is GOOD, Center-M.Leach, Holder-D.Zastudil."
23,1,"ARI","9","J.Feely","(10:37) J.Feely 23 yard field goal is GOOD, Center-M.Leach, Holder-D.Zastudil."
43,1,"ARI","9","J.Feely","(4:17) J.Feely 43 yard field goal is GOOD, Center-M.Leach, Holder-D.Zastudil."
33,1,"ARI","9","J.Feely","(14:23) J.Feely 33 yard field goal is GOOD, Center-M.Leach, Holder-D.Zastudil."
47,0,"ARI","9","D.Akers","(8:52) D.Akers 47 yard field goal is BLOCKED (J.Bethel), Center-D.Muhlbach, Holder-S.Martin, RECOVERED by ARI-R.Talley at ARI 42. R.Talley pushed ob at ARI 42 for no gain (B.Pettigrew)."
27,1,"OAK","9","J.Scobee","(7:50) J.Scobee 27 yard field goal is GOOD, Center-C.Tinker, Holder-B.Anger."
35,0,"OAK","9","S.Janikowski","(4:11) S.Janikowski 35 yard field goal is No Good, Wide Left, Center-J.Condo, Holder-M.King."
46,1,"OAK","9","S.Janikowski","(:08) S.Janikowski 46 yard field goal is GOOD, Center-J.Condo, Holder-M.King."
30,1,"OAK","9","S.Janikowski","(9:22) S.Janikowski 30 yard field goal is GOOD, Center-J.Condo, Holder-M.King."
29,1,"OAK","9","S.Janikowski","(13:53) S.Janikowski 29 yard field goal is GOOD, Center-J.Condo, Holder-M.King."
29,1,"OAK","9","S.Janikowski","(6:04) S.Janikowski 29 yard field goal is GOOD, Center-J.Condo, Holder-M.King."
36,1,"NYG","9","J.Brown","(7:45) J.Brown 36 yard field goal is GOOD, Center-Z.DeOssie, Holder-S.Weatherford."
24,1,"NYG","9","J.Brown","(6:57) J.Brown 24 yard field goal is GOOD, Center-Z.DeOssie, Holder-S.Weatherford."
41,1,"NYG","9","J.Brown","(2:24) J.Brown 41 yard field goal is GOOD, Center-Z.DeOssie, Holder-S.Weatherford."
42,1,"NYG","9","M.Prater","(:52) M.Prater 42 yard field goal is GOOD, Center-A.Brewer, Holder-B.Colquitt."
47,1,"NYG","9","M.Prater","(2:42) M.Prater 47 yard field goal is GOOD, Center-A.Brewer, Holder-B.Colquitt."
30,1,"SEA","9","S.Hauschka","(5:56) S.Hauschka 30 yard field goal is GOOD, Center-C.Gresham, Holder-J.Ryan."
21,1,"SEA","9","P.Dawson","(4:23) P.Dawson 21 yard field goal is GOOD, Center-K.McDermott, Holder-A.Lee."
37,1,"SEA","9","S.Hauschka","(11:36) S.Hauschka 37 yard field goal is GOOD, Center-C.Gresham, Holder-J.Ryan."
44,1,"CIN","9","S.Suisham","(10:47) S.Suisham 44 yard field goal is GOOD, Center-G.Warren, Holder-Z.Mesko."
41,1,"CIN","9","M.Nugent","(13:19) M.Nugent 41 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber. Penalty on PIT-W.Gay, Defensive Offside, declined."
25,1,"CIN","9","M.Nugent","(7:54) M.Nugent 25 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber."
33,1,"PHI","9","R.Succop","(12:12) R.Succop 33 yard field goal is GOOD, Center-T.Gafford, Holder-D.Colquitt."
51,0,"PHI","9","R.Succop","(12:56) R.Succop 51 yard field goal is No Good, Wide Right, Center-T.Gafford, Holder-D.Colquitt."
31,1,"PHI","9","R.Succop","(8:25) R.Succop 31 yard field goal is GOOD, Center-T.Gafford, Holder-D.Colquitt."
34,1,"PHI","9","R.Succop","(2:30) R.Succop 34 yard field goal is GOOD, Center-T.Gafford, Holder-D.Colquitt."
29,1,"PHI","9","A.Henery","(6:33) A.Henery 29 yard field goal is GOOD, Center-J.Dorenbos, Holder-D.Jones."
48,0,"PHI","9","A.Henery","(2:47) A.Henery 48 yard field goal is No Good, Wide Left, Center-J.Dorenbos, Holder-D.Jones."
38,1,"PHI","9","R.Succop","(3:24) R.Succop 38 yard field goal is GOOD, Center-T.Gafford, Holder-D.Colquitt."
27,1,"BAL","9","R.Bullock","(7:10) (Field Goal formation) R.Bullock 27 yard field goal is GOOD, Center-J.Weeks, Holder-S.Lechler."
29,1,"BAL","9","R.Bullock","(15:00) (Field Goal formation) R.Bullock 29 yard field goal is GOOD, Center-J.Weeks, Holder-S.Lechler."
28,1,"BAL","9","J.Tucker","(4:15) (Field Goal formation) J.Tucker 28 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch."
47,1,"BAL","9","R.Bullock","(:04) (Field Goal formation) R.Bullock 47 yard field goal is GOOD, Center-J.Weeks, Holder-S.Lechler."
45,1,"BAL","9","J.Tucker","(9:14) (Field Goal formation) J.Tucker 45 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch."
43,1,"BAL","9","J.Tucker","(1:13) (Field Goal formation) J.Tucker 43 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch."
38,0,"CAR","9","J.Brown","(11:42) J.Brown 38 yard field goal is No Good, Wide Left, Center-Z.DeOssie, Holder-S.Weatherford."
53,1,"CAR","9","G.Gano","(6:48) G.Gano 53 yard field goal is GOOD, Center-J.Jansen, Holder-B.Nortman."
32,1,"WAS","9","D.Akers","(:49) D.Akers 32 yard field goal is GOOD, Center-D.Muhlbach, Holder-S.Martin."
43,1,"WAS","9","J.Potter","(12:16) J.Potter 43 yard field goal is GOOD, Center-N.Sundberg, Holder-S.Rocca."
28,1,"WAS","9","D.Akers","(11:13) D.Akers 28 yard field goal is GOOD, Center-D.Muhlbach, Holder-S.Martin."
21,1,"WAS","9","J.Potter","(1:44) J.Potter 21 yard field goal is GOOD, Center-N.Sundberg, Holder-S.Rocca."
20,1,"TEN","9","R.Bironas","(13:05) (Field Goal formation) R.Bironas 20 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern."
44,1,"TEN","9","N.Novak","(4:53) (Field Goal formation) N.Novak 44 yard field goal is GOOD, Center-M.Windt, Holder-M.Scifres."
38,0,"TEN","9","N.Novak","(:02) (Field Goal formation) N.Novak 38 yard field goal is BLOCKED (B.Pollard), Center-M.Windt, Holder-M.Scifres, RECOVERED by TEN-A.Verner at TEN 29. A.Verner to TEN 29 for no gain (J.Phillips)."
43,0,"TEN","9","R.Bironas","(7:13) (Field Goal formation) R.Bironas 43 yard field goal is No Good, Wide Right, Center-B.Brinkley, Holder-B.Kern."
37,1,"TEN","9","R.Bironas","(6:12) (Field Goal formation) R.Bironas 37 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern."
31,1,"NO","9","G.Hartley","(4:08) G.Hartley 31 yard field goal is GOOD, Center-J.Drescher, Holder-L.McCown."
38,0,"NE","9","R.Lindell","(10:15) R.Lindell 38 yard field goal is No Good, Wide Right, Center-A.Economos, Holder-M.Koenen."
30,1,"NE","9","R.Lindell","(1:50) R.Lindell 30 yard field goal is GOOD, Center-A.Economos, Holder-M.Koenen."
53,1,"NE","9","S.Gostkowski","(:03) S.Gostkowski 53 yard field goal is GOOD, Center-D.Aiken, Holder-R.Allen. NE 3-Gostkowski 8th career 50+ yard FG, ties franchise record (Vinatieri)."
46,1,"NE","9","S.Gostkowski","(3:43) S.Gostkowski 46 yard field goal is GOOD, Center-D.Aiken, Holder-R.Allen."
33,1,"NE","9","S.Gostkowski","(8:23) S.Gostkowski 33 yard field goal is GOOD, Center-D.Aiken, Holder-R.Allen."
41,1,"CIN","9","M.Crosby","(15:00) M.Crosby 41 yard field goal is GOOD, Center-B.Goode, Holder-T.Masthay."
